prestador_codigo,prestador_nome,_provider_ranking_id,especialidade,avg_cost_before,avg_cost_after,amount_of_contact,contact_score,rank_position,patient_by_month,claim_per_capita,average_paid_by_month,rate_atendimento_domiciliar,rate_terapias,rate_pronto_socorro,rate_exames_ambulatoriais,rate_consulta,rate_internacao,_provider_id,no_fantasia,no_razao_social,no_municipio,co_sigla_estado,no_bairro,co_cep,no_logradouro,nu_endereco,no_complemento,nu_telefone,no_email,tipo_estabelecimento
39298922000162,HOSPITAL PRAIA DA COSTA S/A,19393eeab3345fa36efa185991537831,FISIOTERAPEUTA GERAL,5054.78,457.87,179,11.04,1,72.21,2066.57,92565.28958333336,,0.048,0,0.046,,0.12,f3b825849c911ae2b349206859b73d3c,MERIDIONAL PRAIA DA COSTA,HOSPITAL PRAIA DA COSTA S A,VILA VELHA,ES,PRAIA DA COSTA,29101295,PROFESSOR TELMO DE SOUZA TORRES,117,"",27 33463734,contabilidade@hospitalmeridional.com.br,
29259736000403,MEDISE MEDICINA DIAGNOSTICO E SERVICOS S.A.,173a054491df7ba50a5a138c949915cd,FISIOTERAPEUTA GERAL,3659.12,1688.79,354,2.167,2,96.34,15801.84,1154463.7935294118,,0.012,,0.008,,0.118,37e7d6aff4a56def6979f774da9f64b2,HOSPITAL RIOS DOR,MEDISE MEDICINA DIAGNOSTICO E SERVICOS SA,RIO DE JANEIRO,RJ,FREGUESIA,22745005,ESTRADA DOS TRES RIOS,1366,E 1316,2132394766,silvana.moura@rededor.com.br,
06047087003316,REDE D OR SAO LUIZ S.A.,711ae3203b370917a3d6a30479aa2fa4,FISIOTERAPEUTA GERAL,3266.7,2173.63,202,1.503,3,54.83,19507.16,1097974.4557142858,,0.048,,0.03,,0.199,d686742c364b3f77590df902f756aad8,HOSPITAL OESTE DOR,REDE DOR SAO LUIZ S A,RIO DE JANEIRO,RJ,CAMPO GRANDE,23045160,RUA OLINDA ELLIS,93,"",2124143600,legalizacao.obras@rededor.com.br,
61599908000158,REAL E BENEMERITA ASS PORTUGUESA DE BENEFICENCIA,4e7dac19b06f76a8b5420b15bb41ee88,FISIOTERAPEUTA GERAL,1211.7,870.09,1458,1.393,4,73.93,15766.03,660270.26224137936,,0.064,0.002,0.024,,0.283,d38e3d1e1c6654de9622221d6408dd20,HOSPITAL BP,REAL E BENEMERITA ASSOCIACAO PORTUGUESA DE BENEFICENCIA,SAO PAULO,SP,LIBERDADE,01323900,MAEST CARDIM,769,"","","",
60742616000160,CASA DE SAUDE SANTA MARCELINA,7eba888a3f8c2a51088b733321fa69ad,FISIOTERAPEUTA GERAL,271.88,572.38,591,0.475,5,34.66,1647.57,22326.235510204078,,0.068,0.059,0.04,0.004,0.18,52b48b0ed22b20a1ce5c5638f89f6cb4,HOSPITAL SANTA MARCELINA SAO PAULO,CASA DE SAUDE SANTA MARCELINA,SAO PAULO,SP,ITAQUERA,08270070,RUA SANTA MARCELINA,177,"",(11) 2070-6000,rosane@santamarcelina.org,
NA,SUS,6dc28c37e447ed21e45a6748f8774e3e,FISIOTERAPEUTA GERAL,199.04,828.04,255,0.24,6,25.12,3526.79,21160.737954545457,,0.669,,0.013,,0.013,,,,,,,,,,,,,
72775745000133,HOSPITAL AVICCENA S A,56009a1184a86ce48027120f9da3b9b1,FISIOTERAPEUTA GERAL,210.85,882.65,115,0.239,7,4.35,2466.01,6658.2232,,0.024,,0.069,,0.356,,,,,,,,,,,,,
13792965000106,COOPERATIVA DOS MEDICOS ANESTESIOLOGISTAS DA BAHIA,d4e96ec9dc39b39e31063b7619a90f23,MÉDICO ANESTESIOLOGISTA,10544.82,2827.89,1312,3.729,1,167.43,1402.25,278581.19916666666,,,,,,0.669,553abd495f4cd2a7ebd504eaa19e3949,COOPANEST,COOPERATIVA DOS MEDICOS ANESTESIOLOGISTAS DA BAHIA,SALVADOR,BA,FEDERACAO,40210750,ANITA GARIBALDI,1815,CENTRO,71 32379950,alex@coopanestba.com.br,COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE
32771537000141,CLINICA INTEGRADA HOMO LTDA,e7e99322d2d43d55f3cce2e677b59c83,MÉDICO CARDIOLOGISTA,10033.36,250.3,167,40.085,1,57.92,300.58,13400.765833333333,,,,0.179,,,7efddc52f2ed0ff38a000c094c06fed2,CLINICA HOMO,CLINICA INTEGRADA HOMO LTDA,ARACAJU,SE,SAO JOSE,49015460,RUA CAMPO DO BRITO,1056,"","","",
32740227000160,CARDIO CLINICA CARDIOLOGICA DR.JOSE C.S.,5a4b6fcf26e9e287a2b8414bd698af09,MÉDICO CARDIOLOGISTA,8932.49,266.89,173,33.469,2,41.42,470.15,19007.301428571427,,,,0.462,,,03c6ef1b68b784cbcdee9f77af7a2a2c,CARDIO CLINICA CARDIOL DR JOSE CARLOS S DE OLIVEIRA LTDA,CARDIO CLINICA CARDIOLOGIA DR JOSE CARLOS SANTANA E DR ROB,ARACAJU,SE,SALGADO FILHO,49020270,GUILHERMINO REZENDE,168,"",79 32140321,carolaracaju@yahoo.com.br,CONSULTORIO ISOLADO
09056966000115,ULTRACOR,a8ce1ddb7b92b3d6f9dcee9371413ecc,MÉDICO CARDIOLOGISTA,6564.19,215.25,260,30.496,3,49.48,443.87,18855.482799999998,,,,0.753,,0.003,930a30a3987558f36b56ef1f5a131ae5,ULTRACOR,L A DIAGNOSTICOS SERVICOS MEDICOS LTDA,MACAE,RJ,CAVALEIROS,27920150,RUA ACAPULCO,47,"",(22) 2762-2627,unicentercontabilidade@yahoo.com.br,CLINICA/CENTRO DE ESPECIALIDADE
01785188755,VLADIMYR AREAS PACHECO,0174731185cabb7bba77153d70aa173b,MÉDICO CARDIOLOGISTA,7044.29,270.62,159,26.03,4,36.46,317.79,7088.1752173913083,,,,1,,,85408e7fa1908b7de8f275bd9e328be9,VLADIMYR AREAS PACHECO,VLADIMYR AREAS PACHECO,MACAE,RJ,PRAIA CAMPISTA,27920360,AVENIDA NOSSA SENHORA DA GLORIA,1225,"",(22) 2793-0194,"",CONSULTORIO ISOLADO
01900251000195,MEGA IMAGEM S/C LTDA,fabed3f8d1745458e26d451e591850f0,MÉDICO CARDIOLOGISTA,6033.16,303.12,111,19.904,5,15.04,284.53,3971.4949999999994,,,,1,,,e31fa018b1414e2ac98c2a1bf8b64777,MEGA IMAGEM,MEGA IMAGEM LTDA,SANTOS,SP,BOQUEIRAO,11055011,RUA MATO GROSSO,79,"",13 32011990,megaimagem@megaimagem.com.br,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)
